dataset,data,drift,width,encoding,FPR_mean,latency_mean
agraw1,synthetic,abrupt,0.0,exclude,0.0,0.0
agraw1,synthetic,abrupt,0.0,onehot,0.0,0.75
agraw1,synthetic,abrupt,0.0,target,1.0,0.0
agraw2,synthetic,abrupt,0.0,exclude,0.5,0.0
agraw2,synthetic,abrupt,0.0,onehot,0.0,1.0
agraw2,synthetic,abrupt,0.0,target,0.0,0.5
sea,synthetic,abrupt,0.0,exclude,0.0,0.0
agraw1,synthetic,gradual,0.5,exclude,0.0,0.0
agraw1,synthetic,gradual,1.0,exclude,0.0,0.0
agraw1,synthetic,gradual,5.0,exclude,0.0,0.0
agraw1,synthetic,gradual,10.0,exclude,0.0,0.25
agraw1,synthetic,gradual,20.0,exclude,0.0,0.25
agraw1,synthetic,gradual,0.5,onehot,0.0,0.75
agraw1,synthetic,gradual,1.0,onehot,0.0,0.75
agraw1,synthetic,gradual,5.0,onehot,0.0,0.75
agraw1,synthetic,gradual,10.0,onehot,0.0,0.5
agraw1,synthetic,gradual,20.0,onehot,0.0,1.0
agraw1,synthetic,gradual,0.5,target,1.0,0.0
agraw1,synthetic,gradual,1.0,target,1.0,0.0
agraw1,synthetic,gradual,5.0,target,1.0,0.0
agraw1,synthetic,gradual,10.0,target,1.0,0.25
agraw1,synthetic,gradual,20.0,target,1.0,0.25
agraw2,synthetic,gradual,0.5,exclude,0.5,0.0
agraw2,synthetic,gradual,1.0,exclude,0.5,0.0
agraw2,synthetic,gradual,5.0,exclude,0.5,0.0
agraw2,synthetic,gradual,10.0,exclude,0.5,0.0
agraw2,synthetic,gradual,20.0,exclude,0.5,0.0
agraw2,synthetic,gradual,0.5,onehot,0.0,1.0
agraw2,synthetic,gradual,1.0,onehot,0.0,1.0
agraw2,synthetic,gradual,5.0,onehot,0.0,1.0
agraw2,synthetic,gradual,10.0,onehot,0.0,1.0
agraw2,synthetic,gradual,20.0,onehot,0.0,1.0
agraw2,synthetic,gradual,0.5,target,0.0,0.5
agraw2,synthetic,gradual,1.0,target,0.0,0.5
agraw2,synthetic,gradual,5.0,target,0.0,0.5
agraw2,synthetic,gradual,10.0,target,0.0,0.25
agraw2,synthetic,gradual,20.0,target,0.0,0.75
sea,synthetic,gradual,0.5,exclude,0.0,0.0
sea,synthetic,gradual,1.0,exclude,0.0,0.0
sea,synthetic,gradual,5.0,exclude,0.0,0.0
sea,synthetic,gradual,10.0,exclude,0.0,0.25
sea,synthetic,gradual,20.0,exclude,0.0,0.25
