dataset,data,drift,width,encoding,FPR_mean,latency_mean
agraw1,synthetic,abrupt,0.0,exclude,0.3548387096774194,0.4435483870967742
agraw1,synthetic,abrupt,0.0,onehot,0.0,1.0
agraw1,synthetic,abrupt,0.0,target,0.53125,0.43359375
agraw2,synthetic,abrupt,0.0,exclude,0.1488095238095238,0.7023809523809523
agraw2,synthetic,abrupt,0.0,onehot,0.0,1.0
agraw2,synthetic,abrupt,0.0,target,0.0,0.8
sea,synthetic,abrupt,0.0,exclude,0.0,0.3866279069767442
agraw1,synthetic,gradual,0.5,exclude,0.3548387096774194,0.4435483870967742
agraw1,synthetic,gradual,1.0,exclude,0.3548387096774194,0.4435483870967742
agraw1,synthetic,gradual,5.0,exclude,0.3548387096774194,0.4435483870967742
agraw1,synthetic,gradual,10.0,exclude,0.3548387096774194,0.3951612903225806
agraw1,synthetic,gradual,20.0,exclude,0.3409090909090909,0.45454545454545453
agraw1,synthetic,gradual,0.5,onehot,0.0,1.0
agraw1,synthetic,gradual,1.0,onehot,0.0,1.0
agraw1,synthetic,gradual,5.0,onehot,0.0,1.0
agraw1,synthetic,gradual,10.0,onehot,0.0,1.0
agraw1,synthetic,gradual,20.0,onehot,0.0,0.8888888888888888
agraw1,synthetic,gradual,0.5,target,0.53125,0.43359375
agraw1,synthetic,gradual,1.0,target,0.53125,0.43359375
agraw1,synthetic,gradual,5.0,target,0.53125,0.43359375
agraw1,synthetic,gradual,10.0,target,0.53125,0.5
agraw1,synthetic,gradual,20.0,target,0.5166666666666667,0.5375
agraw2,synthetic,gradual,0.5,exclude,0.1488095238095238,0.7023809523809523
agraw2,synthetic,gradual,1.0,exclude,0.1488095238095238,0.7023809523809523
agraw2,synthetic,gradual,5.0,exclude,0.14556962025316456,0.7183544303797469
agraw2,synthetic,gradual,10.0,exclude,0.12790697674418605,0.8081395348837209
agraw2,synthetic,gradual,20.0,exclude,0.09375,0.90625
agraw2,synthetic,gradual,0.5,onehot,0.0,1.0
agraw2,synthetic,gradual,1.0,onehot,0.0,1.0
agraw2,synthetic,gradual,5.0,onehot,0.0,1.0
agraw2,synthetic,gradual,10.0,onehot,0.0,1.0
agraw2,synthetic,gradual,20.0,onehot,0.0,1.0
agraw2,synthetic,gradual,0.5,target,0.0,0.8
agraw2,synthetic,gradual,1.0,target,0.0,0.825
agraw2,synthetic,gradual,5.0,target,0.0,0.8
agraw2,synthetic,gradual,10.0,target,0.0,0.95
agraw2,synthetic,gradual,20.0,target,0.0,1.0
sea,synthetic,gradual,0.5,exclude,0.0,0.38392857142857145
sea,synthetic,gradual,1.0,exclude,0.0,0.3855421686746988
sea,synthetic,gradual,5.0,exclude,0.0,0.38392857142857145
sea,synthetic,gradual,10.0,exclude,0.0,0.3870967741935484
sea,synthetic,gradual,20.0,exclude,0.0,0.45689655172413796
