encoding,scaling,distance,check,alltraining,runs,tbs,detection_rate,mean_FPR,mean_latency
exclude,minmax,euclidean,with,no,15,7,0.93,0.0,0.44
exclude,minmax,manhattan,no,no,6,7,1.0,0.5,0.4
exclude,minmax,manhattan,with,no,50,7,1.0,1.0,0.26
onehot,minmax,euclidean,no,no,50,7,0.86,0.0,0.14
onehot,minmax,euclidean,with,no,50,7,0.86,0.0,0.14
ordinal,minmax,euclidean,no,no,6,7,1.0,0.5,0.4
ordinal,minmax,euclidean,with,no,20,7,1.0,0.95,0.0
ordinal,minmax,manhattan,with,no,50,7,0.68,0.18,0.73
target,minmax,euclidean,no,no,6,7,1.0,0.0,0.4
target,minmax,euclidean,with,no,6,7,1.0,0.0,0.0
target,minmax,manhattan,with,no,50,7,0.26,0.46,0.81
