encoding,scaling,distance,check,alltraining,runs,tbs,detection_rate,mean_FPR,mean_latency
exclude,minmax,euclidean,no,no,10,7,0.0,0.0,1.0
exclude,minmax,euclidean,no,with,10,7,0.0,0.0,1.0
exclude,minmax,euclidean,with,no,10,7,0.0,0.0,1.0
exclude,minmax,euclidean,with,with,10,7,0.0,0.0,1.0
exclude,minmax,manhattan,no,no,10,7,0.0,0.0,1.0
exclude,minmax,manhattan,no,with,10,7,0.0,0.0,1.0
exclude,minmax,manhattan,with,no,10,7,1.0,1.0,0.0
exclude,minmax,manhattan,with,with,10,7,0.1,0.0,0.96
onehot,minmax,euclidean,no,no,20,7,0.85,0.0,0.49
onehot,minmax,euclidean,no,with,10,7,0.0,0.0,1.0
onehot,minmax,euclidean,with,no,20,7,0.85,0.0,0.49
onehot,minmax,euclidean,with,with,10,7,0.0,0.0,1.0
onehot,minmax,manhattan,no,no,10,7,1.0,0.0,0.0
onehot,minmax,manhattan,no,with,10,7,0.0,0.0,1.0
onehot,minmax,manhattan,with,no,10,7,1.0,0.0,0.0
onehot,minmax,manhattan,with,with,10,7,0.0,0.0,1.0
target,minmax,euclidean,no,no,10,7,1.0,0.0,0.8
target,minmax,euclidean,no,with,10,7,0.0,0.0,1.0
target,minmax,euclidean,with,no,10,7,1.0,0.0,0.8
target,minmax,euclidean,with,with,10,7,0.0,0.0,1.0
target,minmax,manhattan,no,no,10,7,1.0,0.0,0.44
target,minmax,manhattan,no,with,10,7,0.0,0.0,1.0
target,minmax,manhattan,with,no,10,7,1.0,0.0,0.44
target,minmax,manhattan,with,with,10,7,0.0,0.0,1.0
