encoding,scaling,distance,check,alltraining,runs,tbs,detection_rate,mean_FPR,mean_latency
exclude,minmax,manhattan,with,no,10,7,1.0,1.0,0.0
exclude,minmax,manhattan,with,with,10,7,0.1,0.0,0.98
onehot,minmax,euclidean,no,no,16,7,0.81,0.0,0.59
onehot,minmax,euclidean,with,no,16,7,0.81,0.0,0.59
onehot,minmax,manhattan,no,no,10,7,1.0,0.0,0.0
onehot,minmax,manhattan,with,no,10,7,1.0,0.0,0.0
target,minmax,euclidean,no,no,10,7,1.0,0.0,1.0
target,minmax,euclidean,with,no,10,7,1.0,0.0,1.0
target,minmax,manhattan,no,no,10,7,1.0,0.0,0.55
target,minmax,manhattan,with,no,10,7,1.0,0.0,0.55
