type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,any,yes,10,10,0.01,0.0,0.2
synthetic,sea,abrupt,0.0,exclude,any,yes,10,10,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,yes,10,10,1e-05,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,yes,10,100,0.01,0.0,0.2
synthetic,sea,abrupt,0.0,exclude,any,yes,10,100,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,yes,10,100,1e-05,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,yes,10,300,0.01,0.0,0.2
synthetic,sea,abrupt,0.0,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,yes,10,300,1e-05,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,10,0.01,0.0,0.49
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,10,0.0001,0.0,0.2
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,10,1e-05,0.0,0.2
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,100,0.01,0.0,0.49
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,100,0.0001,0.0,0.08333333333333333
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,100,1e-05,0.0,0.3
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,300,0.01,0.0,0.49
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,300,0.0001,0.0,0.08333333333333333
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,300,1e-05,0.0,0.3
synthetic,sea,abrupt,0.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,yes,10,10,0.01,0.0,0.95
synthetic,sea,abrupt,0.0,exclude,all,yes,10,10,0.0001,0.0,0.7142857142857143
synthetic,sea,abrupt,0.0,exclude,all,yes,10,10,1e-05,0.0,0.7222222222222222
synthetic,sea,abrupt,0.0,exclude,all,yes,10,100,0.01,0.0,0.95
synthetic,sea,abrupt,0.0,exclude,all,yes,10,100,0.0001,0.0,0.75
synthetic,sea,abrupt,0.0,exclude,all,yes,10,100,1e-05,0.0,0.75
synthetic,sea,abrupt,0.0,exclude,all,yes,10,300,0.01,0.0,0.95
synthetic,sea,abrupt,0.0,exclude,all,yes,10,300,0.0001,0.0,0.75
synthetic,sea,abrupt,0.0,exclude,all,yes,10,300,1e-05,0.0,0.75
synthetic,sea,abrupt,0.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,10,0.01,0.0,0.08333333333333333
synthetic,sea,gradual,0.5,exclude,any,yes,10,10,0.0001,0.0,0.05
synthetic,sea,gradual,0.5,exclude,any,yes,10,10,1e-05,0.0,0.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,100,0.01,0.0,0.08333333333333333
synthetic,sea,gradual,0.5,exclude,any,yes,10,100,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,100,1e-05,0.0,0.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,300,0.01,0.0,0.08333333333333333
synthetic,sea,gradual,0.5,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,300,1e-05,0.0,0.0
synthetic,sea,gradual,0.5,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,yes,10,10,0.01,0.0,0.6477272727272727
synthetic,sea,gradual,0.5,exclude,majority,yes,10,10,0.0001,0.0,0.2
synthetic,sea,gradual,0.5,exclude,majority,yes,10,10,1e-05,0.0,0.2
synthetic,sea,gradual,0.5,exclude,majority,yes,10,100,0.01,0.0,0.6477272727272727
synthetic,sea,gradual,0.5,exclude,majority,yes,10,100,0.0001,0.0,0.08333333333333333
synthetic,sea,gradual,0.5,exclude,majority,yes,10,100,1e-05,0.0,0.2916666666666667
synthetic,sea,gradual,0.5,exclude,majority,yes,10,300,0.01,0.0,0.6477272727272727
synthetic,sea,gradual,0.5,exclude,majority,yes,10,300,0.0001,0.0,0.08333333333333333
synthetic,sea,gradual,0.5,exclude,majority,yes,10,300,1e-05,0.0,0.2916666666666667
synthetic,sea,gradual,0.5,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,yes,10,10,0.0001,0.0,0.875
synthetic,sea,gradual,0.5,exclude,all,yes,10,10,1e-05,0.0,0.7857142857142857
synthetic,sea,gradual,0.5,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,yes,10,100,0.0001,0.0,0.8
synthetic,sea,gradual,0.5,exclude,all,yes,10,100,1e-05,0.0,0.8
synthetic,sea,gradual,0.5,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,yes,10,300,0.0001,0.0,0.8
synthetic,sea,gradual,0.5,exclude,all,yes,10,300,1e-05,0.0,0.8
synthetic,sea,gradual,0.5,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,yes,10,10,0.01,0.14285714285714285,0.19642857142857142
synthetic,sea,gradual,1.0,exclude,any,yes,10,10,0.0001,0.0,0.05
synthetic,sea,gradual,1.0,exclude,any,yes,10,10,1e-05,0.0,0.05
synthetic,sea,gradual,1.0,exclude,any,yes,10,100,0.01,0.14285714285714285,0.19642857142857142
synthetic,sea,gradual,1.0,exclude,any,yes,10,100,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,any,yes,10,100,1e-05,0.0,0.0
synthetic,sea,gradual,1.0,exclude,any,yes,10,300,0.01,0.14285714285714285,0.19642857142857142
synthetic,sea,gradual,1.0,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,any,yes,10,300,1e-05,0.0,0.0
synthetic,sea,gradual,1.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,yes,10,10,0.01,0.0,0.506578947368421
synthetic,sea,gradual,1.0,exclude,majority,yes,10,10,0.0001,0.0,0.2916666666666667
synthetic,sea,gradual,1.0,exclude,majority,yes,10,10,1e-05,0.0,0.3181818181818182
synthetic,sea,gradual,1.0,exclude,majority,yes,10,100,0.01,0.0,0.506578947368421
synthetic,sea,gradual,1.0,exclude,majority,yes,10,100,0.0001,0.0,0.05
synthetic,sea,gradual,1.0,exclude,majority,yes,10,100,1e-05,0.0,0.3
synthetic,sea,gradual,1.0,exclude,majority,yes,10,300,0.01,0.0,0.506578947368421
synthetic,sea,gradual,1.0,exclude,majority,yes,10,300,0.0001,0.0,0.05
synthetic,sea,gradual,1.0,exclude,majority,yes,10,300,1e-05,0.0,0.3
synthetic,sea,gradual,1.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,yes,10,10,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,yes,10,10,0.0001,0.0,0.75
synthetic,sea,gradual,1.0,exclude,all,yes,10,10,1e-05,0.0,0.75
synthetic,sea,gradual,1.0,exclude,all,yes,10,100,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,yes,10,100,0.0001,0.0,0.7
synthetic,sea,gradual,1.0,exclude,all,yes,10,100,1e-05,0.0,0.75
synthetic,sea,gradual,1.0,exclude,all,yes,10,300,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,yes,10,300,0.0001,0.0,0.7
synthetic,sea,gradual,1.0,exclude,all,yes,10,300,1e-05,0.0,0.75
synthetic,sea,gradual,1.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,10,0.01,0.12962962962962962,0.14814814814814814
synthetic,sea,gradual,5.0,exclude,any,yes,10,10,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,10,1e-05,0.0,0.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,100,0.01,0.12962962962962962,0.14814814814814814
synthetic,sea,gradual,5.0,exclude,any,yes,10,100,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,100,1e-05,0.05,0.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,300,0.01,0.12962962962962962,0.14814814814814814
synthetic,sea,gradual,5.0,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,300,1e-05,0.05,0.0
synthetic,sea,gradual,5.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,100,1e-05,0.05,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,no,10,300,1e-05,0.05,1.0
synthetic,sea,gradual,5.0,exclude,majority,yes,10,10,0.01,0.0,0.4632352941176471
synthetic,sea,gradual,5.0,exclude,majority,yes,10,10,0.0001,0.0,0.2
synthetic,sea,gradual,5.0,exclude,majority,yes,10,10,1e-05,0.0,0.16666666666666666
synthetic,sea,gradual,5.0,exclude,majority,yes,10,100,0.01,0.0,0.4632352941176471
synthetic,sea,gradual,5.0,exclude,majority,yes,10,100,0.0001,0.0,0.14285714285714285
synthetic,sea,gradual,5.0,exclude,majority,yes,10,100,1e-05,0.0,0.08333333333333333
synthetic,sea,gradual,5.0,exclude,majority,yes,10,300,0.01,0.0,0.4632352941176471
synthetic,sea,gradual,5.0,exclude,majority,yes,10,300,0.0001,0.0,0.14285714285714285
synthetic,sea,gradual,5.0,exclude,majority,yes,10,300,1e-05,0.0,0.08333333333333333
synthetic,sea,gradual,5.0,exclude,majority,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,yes,10,10,0.01,0.0,0.8260869565217391
synthetic,sea,gradual,5.0,exclude,all,yes,10,10,0.0001,0.0,0.6979166666666666
synthetic,sea,gradual,5.0,exclude,all,yes,10,10,1e-05,0.0,0.6764705882352942
synthetic,sea,gradual,5.0,exclude,all,yes,10,100,0.01,0.0,0.8260869565217391
synthetic,sea,gradual,5.0,exclude,all,yes,10,100,0.0001,0.0,0.8
synthetic,sea,gradual,5.0,exclude,all,yes,10,100,1e-05,0.0,0.6071428571428571
synthetic,sea,gradual,5.0,exclude,all,yes,10,300,0.01,0.0,0.8260869565217391
synthetic,sea,gradual,5.0,exclude,all,yes,10,300,0.0001,0.0,0.8
synthetic,sea,gradual,5.0,exclude,all,yes,10,300,1e-05,0.0,0.6071428571428571
synthetic,sea,gradual,5.0,exclude,all,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,no,10,300,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,yes,10,10,0.01,0.05,0.3
synthetic,sea,gradual,10.0,exclude,any,yes,10,10,0.0001,0.0,0.3333333333333333
synthetic,sea,gradual,10.0,exclude,any,yes,10,10,1e-05,0.0,0.3333333333333333
synthetic,sea,gradual,10.0,exclude,any,yes,10,100,0.01,0.05,0.3
synthetic,sea,gradual,10.0,exclude,any,yes,10,100,0.0001,0.0,0.35714285714285715
synthetic,sea,gradual,10.0,exclude,any,yes,10,100,1e-05,0.0,0.25
synthetic,sea,gradual,10.0,exclude,any,yes,10,300,0.01,0.05,0.3
synthetic,sea,gradual,10.0,exclude,any,yes,10,300,0.0001,0.0,0.35714285714285715
synthetic,sea,gradual,10.0,exclude,any,yes,10,300,1e-05,0.0,0.25
synthetic,sea,gradual,10.0,exclude,any,no,10,10,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,10,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,100,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,100,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,100,1e-05,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,300,0.01,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,no,10,300,1e-05,0.0,1.0
