type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,300,0.0001,0.0,0.15
synthetic,sea,abrupt,0.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,yes,10,300,0.0001,0.0,0.75
synthetic,sea,abrupt,0.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,yes,10,300,0.0001,0.0,0.1
synthetic,sea,gradual,0.5,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,yes,10,300,0.0001,0.0,0.75
synthetic,sea,gradual,0.5,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,yes,10,300,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,yes,10,300,0.0001,0.0,0.1
synthetic,sea,gradual,1.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,yes,10,300,0.0001,0.0,0.725
synthetic,sea,gradual,1.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,300,0.0001,0.0,0.025
synthetic,sea,gradual,5.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,yes,10,300,0.0001,0.0,0.15
synthetic,sea,gradual,5.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,yes,10,300,0.0001,0.0,0.8
synthetic,sea,gradual,5.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,yes,10,300,0.0001,0.0,0.35
synthetic,sea,gradual,10.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,yes,10,300,0.0001,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,yes,10,300,0.0001,0.0,0.8125
synthetic,sea,gradual,10.0,exclude,all,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,yes,10,300,0.0001,0.0,0.325
synthetic,sea,gradual,20.0,exclude,any,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,yes,10,300,0.0001,0.0,0.6388888888888888
synthetic,sea,gradual,20.0,exclude,majority,no,10,300,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,300,0.0001,0.0,0.975
synthetic,sea,gradual,20.0,exclude,all,no,10,300,0.0001,0.0,1.0
