type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,any,yes,10,10,0.0001,0.0,0.025
synthetic,sea,abrupt,0.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,majority,yes,10,10,0.0001,0.0,0.25
synthetic,sea,abrupt,0.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,abrupt,0.0,exclude,all,yes,10,10,0.0001,0.0,0.7142857142857143
synthetic,sea,abrupt,0.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,any,yes,10,10,0.0001,0.0,0.05
synthetic,sea,gradual,0.5,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,majority,yes,10,10,0.0001,0.0,0.225
synthetic,sea,gradual,0.5,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,0.5,exclude,all,yes,10,10,0.0001,0.0,0.875
synthetic,sea,gradual,0.5,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,any,yes,10,10,0.0001,0.0,0.075
synthetic,sea,gradual,1.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,majority,yes,10,10,0.0001,0.0,0.2916666666666667
synthetic,sea,gradual,1.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,1.0,exclude,all,yes,10,10,0.0001,0.0,0.75
synthetic,sea,gradual,1.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,any,yes,10,10,0.0001,0.0,0.025
synthetic,sea,gradual,5.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,majority,yes,10,10,0.0001,0.0,0.175
synthetic,sea,gradual,5.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,5.0,exclude,all,yes,10,10,0.0001,0.0,0.6979166666666666
synthetic,sea,gradual,5.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,any,yes,10,10,0.0001,0.0,0.325
synthetic,sea,gradual,10.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,majority,yes,10,10,0.0001,0.0,0.45
synthetic,sea,gradual,10.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,10.0,exclude,all,yes,10,10,0.0001,0.0,0.8269230769230769
synthetic,sea,gradual,10.0,exclude,all,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,any,yes,10,10,0.0001,0.0,0.375
synthetic,sea,gradual,20.0,exclude,any,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,majority,yes,10,10,0.0001,0.0,0.65625
synthetic,sea,gradual,20.0,exclude,majority,no,10,10,0.0001,0.0,1.0
synthetic,sea,gradual,20.0,exclude,all,yes,10,10,0.0001,0.0,0.975
synthetic,sea,gradual,20.0,exclude,all,no,10,10,0.0001,0.0,1.0
