type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,1000,0.001,0.0,0.05
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,1000,1e-05,0.1111111111111111,0.05555555555555555
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,1000,0.001,0.0,0.05
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,1000,5e-05,0.0,0.0
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,1000,1e-05,0.1111111111111111,0.09722222222222222
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,1000,0.001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,1000,1e-05,0.1111111111111111,0.06944444444444445
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,1000,0.001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.0
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,1000,1e-05,0.0,0.0
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,1000,0.001,0.0,0.3333333333333333
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.25
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.25
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,1000,1e-05,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,1000,0.001,0.0,0.3333333333333333
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,1000,1e-05,0.0,0.25
