type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,0.001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,1e-05,0.0,0.5
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,0.001,0.0,0.6111111111111112
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,5e-05,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,1e-05,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,0.001,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,1e-05,0.0,0.5
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,0.001,0.0,0.75
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.75
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,5e-05,0.0,0.75
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,1e-05,0.0,0.75
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,0.001,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,5e-05,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,1e-05,0.0,1.0
