type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.25
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,50,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,200,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
