type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,2,0.0001,0.0,0.25
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,2,0.0001,0.0,0.25
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,2,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,sea,gradual,1.0,exclude,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,2,0.0001,0.0,0.10714285714285714
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,sea,gradual,5.0,exclude,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,2,0.0001,0.07142857142857142,0.32142857142857145
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,10,0.0001,0.0,0.25
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,50,0.0001,0.0,0.25
synthetic,sea,gradual,10.0,exclude,submajority,yes,100,250,0.0001,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,2,0.0001,0.0,0.5
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,10,0.0001,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,50,0.0001,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,100,250,0.0001,0.0,0.25
