type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,sea,abrupt,0.0,exclude,submajority,yes,2,1000,0.0001,0.0,0.125
synthetic,sea,abrupt,0.0,exclude,submajority,yes,10,1000,0.0001,0.0,0.05
synthetic,sea,abrupt,0.0,exclude,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,sea,abrupt,0.0,exclude,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,sea,gradual,0.5,exclude,submajority,yes,2,1000,0.0001,0.0,0.125
synthetic,sea,gradual,0.5,exclude,submajority,yes,10,1000,0.0001,0.0,0.05
synthetic,sea,gradual,0.5,exclude,submajority,yes,50,1000,0.0001,0.0,0.025
synthetic,sea,gradual,0.5,exclude,submajority,yes,200,1000,0.0001,0.0,0.025
synthetic,sea,gradual,1.0,exclude,submajority,yes,2,1000,0.0001,0.0,0.1590909090909091
synthetic,sea,gradual,1.0,exclude,submajority,yes,10,1000,0.0001,0.0,0.05
synthetic,sea,gradual,1.0,exclude,submajority,yes,50,1000,0.0001,0.0,0.025
synthetic,sea,gradual,1.0,exclude,submajority,yes,200,1000,0.0001,0.0,0.025
synthetic,sea,gradual,5.0,exclude,submajority,yes,2,1000,0.0001,0.0,0.05
synthetic,sea,gradual,5.0,exclude,submajority,yes,10,1000,0.0001,0.0,0.025
synthetic,sea,gradual,5.0,exclude,submajority,yes,50,1000,0.0001,0.0,0.025
synthetic,sea,gradual,5.0,exclude,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,sea,gradual,10.0,exclude,submajority,yes,2,1000,0.0001,0.0,0.36363636363636365
synthetic,sea,gradual,10.0,exclude,submajority,yes,10,1000,0.0001,0.0,0.35
synthetic,sea,gradual,10.0,exclude,submajority,yes,50,1000,0.0001,0.05,0.25
synthetic,sea,gradual,10.0,exclude,submajority,yes,200,1000,0.0001,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,2,1000,0.0001,0.045454545454545456,0.38636363636363635
synthetic,sea,gradual,20.0,exclude,submajority,yes,10,1000,0.0001,0.0,0.325
synthetic,sea,gradual,20.0,exclude,submajority,yes,50,1000,0.0001,0.0,0.25
synthetic,sea,gradual,20.0,exclude,submajority,yes,200,1000,0.0001,0.0,0.3
