type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,10.0,0.0,1.0
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,0.01,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,1000,1e-06,0.0,0.5
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,10.0,0.12280701754385964,0.6578947368421053
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,10.0,0.044444444444444446,0.75
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,0.01,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,1000,1e-06,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,10.0,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,0.01,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,1000,1e-06,0.0,0.5
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,10.0,0.12,0.72
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,10.0,0.06818181818181818,0.8295454545454546
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,10.0,0.08823529411764706,0.7794117647058824
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,0.01,0.0,0.8333333333333334
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,0.0001,0.0,0.75
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,1000,1e-06,0.0,0.75
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,10.0,0.125,0.7142857142857143
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,10.0,0.11764705882352941,0.7794117647058824
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,10.0,0.14285714285714285,0.6964285714285714
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,10.0,0.12857142857142856,0.7785714285714286
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,10.0,0.08181818181818182,0.7136363636363636
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,1000,1e-06,0.0,1.0
