type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,2,0.0001,0.0,0.76
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw1,abrupt,0.0,exclude,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,2,0.0001,0.09375,0.96875
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,2,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,exclude,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,2,0.0001,0.0,0.78
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw1,gradual,1.0,exclude,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,2,0.0001,0.0,0.5
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,2,0.0001,0.0,0.881578947368421
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw1,gradual,10.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,2,0.0001,0.0,0.9166666666666666
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,10,0.0001,0.0,0.75
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,50,0.0001,0.0,0.75
synthetic,agraw1,gradual,20.0,exclude,submajority,yes,100,250,0.0001,0.0,0.75
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,2,0.0001,0.09375,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,2,0.0001,0.09375,0.953125
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,2,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,2,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,2,0.0001,0.0,0.95
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,exclude,submajority,yes,100,250,0.0001,0.0,1.0
