type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,100,2,0.0001,0.0,1.0
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,100,2,0.0001,0.14583333333333334,0.7604166666666666
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,100,2,0.0001,0.0625,0.6022727272727273
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,100,2,0.0001,0.059782608695652176,0.5597826086956522
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,100,2,0.0001,0.0,1.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,100,2,0.0001,0.05952380952380952,0.5476190476190477
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,100,10,0.0001,0.0,0.25
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,100,50,0.0001,0.0,0.25
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,100,250,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,100,2,0.0001,0.07547169811320754,0.660377358490566
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,100,10,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,100,50,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,100,250,0.0001,0.0,0.25
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,100,2,0.0001,0.0,0.5
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,100,2,0.0001,0.14285714285714285,0.7738095238095238
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,100,2,0.0001,0.14583333333333334,0.7135416666666666
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,100,10,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,100,50,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,100,250,0.0001,0.0,0.5
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,100,2,0.0001,0.08426966292134831,0.6573033707865169
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,100,2,0.0001,0.18235294117647058,0.4470588235294118
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,100,250,0.0001,0.0,0.0
