type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,2,1000,0.0001,0.03205128205128205,0.6506410256410257
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.07142857142857142
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,2,1000,0.0001,0.17391304347826086,0.7608695652173914
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.5681818181818182
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,2,1000,0.0001,0.030864197530864196,0.6604938271604939
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,10,1000,0.0001,0.0,0.10526315789473684
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,2,1000,0.0001,0.03333333333333333,0.7
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.14285714285714285
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,2,1000,0.0001,0.025,0.628125
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.07142857142857142
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,2,1000,0.0001,0.0,0.6354166666666666
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,10.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,2,1000,0.0001,0.02040816326530612,0.7142857142857143
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.25
synthetic,agraw1,gradual,20.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.25
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,2,1000,0.0001,0.1590909090909091,0.8295454545454546
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,10,1000,0.0001,0.0,0.55
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,0.5,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,2,1000,0.0001,0.1590909090909091,0.8295454545454546
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,1.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,2,1000,0.0001,0.11363636363636363,0.7443181818181818
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.5714285714285714
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,5.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.5
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,2,1000,0.0001,0.14285714285714285,0.9285714285714286
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,10,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,50,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,onehot,submajority,yes,200,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,2,1000,0.0001,0.05056179775280899,0.4691011235955056
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,10,1000,0.0001,0.0,0.05
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw2,gradual,20.0,onehot,submajority,yes,200,1000,0.0001,0.0,0.0
