type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,1000,10.0,0.26595744680851063,0.44680851063829785
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,1000,0.01,0.0,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,1000,1e-06,0.0,0.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,1000,10.0,0.5,0.75
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,1000,10.0,0.26595744680851063,0.46808510638297873
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,1000,0.01,0.0,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,1000,1e-06,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,1000,10.0,0.2755102040816326,0.4387755102040816
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,1000,0.01,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,1000,1e-06,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,1000,10.0,0.29347826086956524,0.46195652173913043
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,1000,0.01,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,1000,1e-06,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,1000,10.0,0.3433734939759036,0.5813253012048193
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,1000,0.01,0.05357142857142857,0.07142857142857142
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,1000,1e-06,0.0,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,1000,10.0,0.27906976744186046,0.5406976744186046
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,1000,0.01,0.0,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,1000,0.0001,0.5,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,1000,1e-06,0.5,0.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,1000,10.0,0.5,0.75
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,1000,10.0,0.5,0.75
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,1000,0.01,0.0,0.95
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,1000,10.0,0.38461538461538464,0.6730769230769231
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,1000,0.01,0.5,0.8571428571428571
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,1000,0.0001,0.5,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,1000,1e-06,0.5,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,1000,10.0,0.3333333333333333,0.9166666666666666
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,1000,1e-06,0.0,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,1000,10.0,0.375,0.85625
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,1000,0.01,0.0,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,1000,1e-06,0.0,1.0
