type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,2,0.0001,0.3,0.46875
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,2,0.0001,0.2903225806451613,0.8145161290322581
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,2,0.0001,0.3,0.39375
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,2,0.0001,0.3048780487804878,0.47560975609756095
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,2,0.0001,0.3625,0.40625
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,2,0.0001,0.4318181818181818,0.45454545454545453
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,10,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,50,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,100,250,0.0001,0.0,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,2,0.0001,0.4387755102040816,0.45408163265306123
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,10,0.0001,0.5,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,50,0.0001,0.5,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,100,250,0.0001,0.5,0.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,2,0.0001,0.2903225806451613,0.8306451612903226
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,2,0.0001,0.2903225806451613,0.7016129032258065
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,2,0.0001,0.32608695652173914,0.782608695652174
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,10,0.0001,0.5,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,50,0.0001,0.5,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,100,250,0.0001,0.5,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,2,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,100,250,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,2,0.0001,0.2962962962962963,0.875
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,10,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,50,0.0001,0.0,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,100,250,0.0001,0.0,1.0
