type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
synthetic,agraw1,abrupt,0.0,target,submajority,yes,2,1000,0.0001,0.05,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,10,1000,0.0001,0.07142857142857142,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,abrupt,0.0,target,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,2,1000,0.0001,0.05,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,10,1000,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,50,1000,0.0001,0.0,1.0
synthetic,agraw2,abrupt,0.0,target,submajority,yes,200,1000,0.0001,0.0,1.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,2,1000,0.0001,0.05,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,10,1000,0.0001,0.07142857142857142,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,0.5,target,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,2,1000,0.0001,0.05,0.05
synthetic,agraw1,gradual,1.0,target,submajority,yes,10,1000,0.0001,0.07142857142857142,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,1.0,target,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,2,1000,0.0001,0.05,0.05
synthetic,agraw1,gradual,5.0,target,submajority,yes,10,1000,0.0001,0.07142857142857142,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,5.0,target,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,2,1000,0.0001,0.05555555555555555,0.19047619047619047
synthetic,agraw1,gradual,10.0,target,submajority,yes,10,1000,0.0001,0.07142857142857142,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,50,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,10.0,target,submajority,yes,200,1000,0.0001,0.0,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,2,1000,0.0001,0.22,0.06
synthetic,agraw1,gradual,20.0,target,submajority,yes,10,1000,0.0001,0.28,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,50,1000,0.0001,0.45,0.0
synthetic,agraw1,gradual,20.0,target,submajority,yes,200,1000,0.0001,0.5,0.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,2,1000,0.0001,0.05,0.975
synthetic,agraw2,gradual,0.5,target,submajority,yes,10,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,50,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,0.5,target,submajority,yes,200,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,2,1000,0.0001,0.05,0.975
synthetic,agraw2,gradual,1.0,target,submajority,yes,10,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,50,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,1.0,target,submajority,yes,200,1000,0.0001,0.0,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,2,1000,0.0001,0.5,0.9
synthetic,agraw2,gradual,5.0,target,submajority,yes,10,1000,0.0001,0.5,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,50,1000,0.0001,0.5,1.0
synthetic,agraw2,gradual,5.0,target,submajority,yes,200,1000,0.0001,0.5,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,2,1000,0.0001,0.3,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,10,1000,0.0001,0.28,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,50,1000,0.0001,0.125,1.0
synthetic,agraw2,gradual,10.0,target,submajority,yes,200,1000,0.0001,0.22,1.0
synthetic,agraw2,gradual,20.0,target,submajority,yes,2,1000,0.0001,0.07142857142857142,0.8928571428571429
synthetic,agraw2,gradual,20.0,target,submajority,yes,10,1000,0.0001,0.0,0.7880434782608695
synthetic,agraw2,gradual,20.0,target,submajority,yes,50,1000,0.0001,0.0,0.8081395348837209
synthetic,agraw2,gradual,20.0,target,submajority,yes,200,1000,0.0001,0.0,1.0
