,Unnamed: 0,type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
0,0,synthetic,agraw1,abrupt,0.0,target,any,yes,100,1000,0.0001,0.0,0.0
1,1,synthetic,agraw1,abrupt,0.0,target,any,no,100,1000,0.0001,0.0,0.5
2,2,synthetic,agraw2,abrupt,0.0,target,any,yes,100,1000,0.0001,0.0,1.0
3,3,synthetic,agraw2,abrupt,0.0,target,any,no,100,1000,0.0001,0.0,1.0
4,4,synthetic,agraw1,gradual,0.5,target,any,yes,100,1000,0.0001,0.0,0.0
5,5,synthetic,agraw1,gradual,0.5,target,any,no,100,1000,0.0001,0.0,0.5
6,6,synthetic,agraw1,gradual,1.0,target,any,yes,100,1000,0.0001,0.0,0.0
7,7,synthetic,agraw1,gradual,1.0,target,any,no,100,1000,0.0001,0.0,0.5
8,8,synthetic,agraw1,gradual,5.0,target,any,yes,100,1000,0.0001,0.0,0.0
9,9,synthetic,agraw1,gradual,5.0,target,any,no,100,1000,0.0001,0.0,0.5
10,10,synthetic,agraw1,gradual,10.0,target,any,yes,100,1000,0.0001,0.0,0.0
11,11,synthetic,agraw1,gradual,10.0,target,any,no,100,1000,0.0001,0.0,1.0
12,12,synthetic,agraw1,gradual,20.0,target,any,yes,100,1000,0.0001,0.5,0.0
13,13,synthetic,agraw1,gradual,20.0,target,any,no,100,1000,0.0001,0.5,0.75
14,14,synthetic,agraw2,gradual,0.5,target,any,yes,100,1000,0.0001,0.0,1.0
15,15,synthetic,agraw2,gradual,0.5,target,any,no,100,1000,0.0001,0.0,1.0
16,16,synthetic,agraw2,gradual,1.0,target,any,yes,100,1000,0.0001,0.0,1.0
17,17,synthetic,agraw2,gradual,1.0,target,any,no,100,1000,0.0001,0.0,1.0
18,18,synthetic,agraw2,gradual,5.0,target,any,yes,100,1000,0.0001,0.5,1.0
19,19,synthetic,agraw2,gradual,5.0,target,any,no,100,1000,0.0001,0.0,1.0
20,20,synthetic,agraw2,gradual,10.0,target,any,yes,100,1000,0.0001,0.0,1.0
21,21,synthetic,agraw2,gradual,10.0,target,any,no,100,1000,0.0001,0.0,1.0
22,22,synthetic,agraw2,gradual,20.0,target,any,yes,100,1000,0.0001,0.0,1.0
23,23,synthetic,agraw2,gradual,20.0,target,any,no,100,1000,0.0001,0.0,1.0
