,type_of_data,dataset,drift,width,encoding,train_batch_strategy,additional_check,n_init,max_iter,tol,FPR_mean,latency_mean
0,synthetic,agraw1,abrupt,0.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
1,synthetic,agraw1,abrupt,0.0,onehot,submajority,no,100,1000,0.0001,0.0,0.0
2,synthetic,agraw2,abrupt,0.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
3,synthetic,agraw2,abrupt,0.0,onehot,submajority,no,100,1000,0.0001,0.0,0.5
4,synthetic,agraw1,gradual,0.5,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
5,synthetic,agraw1,gradual,0.5,onehot,submajority,no,100,1000,0.0001,0.0,0.0
6,synthetic,agraw1,gradual,1.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
7,synthetic,agraw1,gradual,1.0,onehot,submajority,no,100,1000,0.0001,0.0,0.0
8,synthetic,agraw1,gradual,5.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
9,synthetic,agraw1,gradual,5.0,onehot,submajority,no,100,1000,0.0001,0.0,0.0
10,synthetic,agraw1,gradual,10.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.25
11,synthetic,agraw1,gradual,10.0,onehot,submajority,no,100,1000,0.0001,0.0,0.5
12,synthetic,agraw1,gradual,20.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.25
13,synthetic,agraw1,gradual,20.0,onehot,submajority,no,100,1000,0.0001,0.0,0.25
14,synthetic,agraw2,gradual,0.5,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
15,synthetic,agraw2,gradual,0.5,onehot,submajority,no,100,1000,0.0001,0.0,0.5
16,synthetic,agraw2,gradual,1.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
17,synthetic,agraw2,gradual,1.0,onehot,submajority,no,100,1000,0.0001,0.0,0.5
18,synthetic,agraw2,gradual,5.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.5
19,synthetic,agraw2,gradual,5.0,onehot,submajority,no,100,1000,0.0001,0.0,0.5
20,synthetic,agraw2,gradual,10.0,onehot,submajority,yes,100,1000,0.0001,0.0,1.0
21,synthetic,agraw2,gradual,10.0,onehot,submajority,no,100,1000,0.0001,0.0,1.0
22,synthetic,agraw2,gradual,20.0,onehot,submajority,yes,100,1000,0.0001,0.0,0.0
23,synthetic,agraw2,gradual,20.0,onehot,submajority,no,100,1000,0.0001,0.0,0.0
